asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
4224250,0,0,2,NaN%,NaN%,0,2
4224343,1,0,0,100%,0%,0,1
4224561,2,4,10,33%,67%,0,16
4224700,6,3,10,67%,33%,0,19
4224701,0,1,1,0%,100%,0,2
4224702,0,0,1,NaN%,NaN%,0,1
4224706,1,0,0,100%,0%,0,1
4224715,0,0,1,NaN%,NaN%,0,1
4225113,0,0,1,NaN%,NaN%,0,1
4225184,0,1,1,0%,100%,0,2
4225196,0,1,5,0%,100%,0,6
4225281,4,0,6,100%,0%,0,10
4225383,3,4,12,43%,57%,0,19
4225384,1,1,3,50%,50%,1,5
4225385,1,3,5,25%,75%,0,9
4225386,2,1,9,67%,33%,0,12
4225387,0,1,4,0%,100%,0,5
4225388,0,0,4,NaN%,NaN%,0,4
4225389,1,2,3,33%,67%,0,6
4225391,1,1,4,50%,50%,1,6
4225392,0,2,5,0%,100%,0,7
4225393,1,2,5,33%,67%,0,8
4225394,2,3,0,40%,60%,0,5
4225395,2,0,3,100%,0%,0,5
4225396,0,0,2,NaN%,NaN%,0,2
4225397,0,0,2,NaN%,NaN%,0,2
4225399,1,1,5,50%,50%,1,7
4225400,0,1,3,0%,100%,0,4
4225401,0,0,2,NaN%,NaN%,0,2
4225402,0,0,2,NaN%,NaN%,0,2
4225403,2,0,2,100%,0%,0,4
4225404,2,1,4,67%,33%,0,7
4225405,1,2,0,33%,67%,0,3
4225406,2,1,2,67%,33%,0,5
4225407,0,2,2,0%,100%,0,4
4225409,1,0,2,100%,0%,0,3
4225410,1,1,3,50%,50%,1,5
4225411,0,1,3,0%,100%,0,4
4225412,0,0,4,NaN%,NaN%,0,4
4225414,1,1,4,50%,50%,1,6
4225416,1,0,4,100%,0%,0,5
4225417,0,1,1,0%,100%,0,2
4225418,0,0,1,NaN%,NaN%,0,1
4225420,0,1,0,0%,100%,0,1
4225421,1,0,3,100%,0%,0,4
4225422,0,0,4,NaN%,NaN%,0,4
4225424,1,0,1,100%,0%,0,2
4225425,1,0,1,100%,0%,0,2
4225426,0,1,1,0%,100%,0,2
4225427,0,1,3,0%,100%,0,4
4225428,1,1,1,50%,50%,1,3
4225429,1,0,3,100%,0%,0,4
4225430,0,0,3,NaN%,NaN%,0,3
4225431,0,1,2,0%,100%,0,3
4225432,1,0,2,100%,0%,0,3
4225433,0,0,1,NaN%,NaN%,0,1
4225434,1,2,0,33%,67%,0,3
4225435,2,1,1,67%,33%,0,4
4225436,0,0,1,NaN%,NaN%,0,1
4225437,0,1,0,0%,100%,0,1
4225438,0,0,4,NaN%,NaN%,0,4
4225439,1,1,4,50%,50%,1,6
4225441,0,2,3,0%,100%,0,5
4225442,0,2,0,0%,100%,0,2
4225443,0,1,0,0%,100%,0,1
4225444,1,0,1,100%,0%,0,2
4225445,0,0,3,NaN%,NaN%,0,3
4225446,0,0,1,NaN%,NaN%,0,1
4225447,0,0,3,NaN%,NaN%,0,3
4225448,0,1,1,0%,100%,0,2
4225450,1,1,2,50%,50%,1,4
4225451,0,1,1,0%,100%,0,2
4225452,1,0,2,100%,0%,0,3
4225453,0,0,1,NaN%,NaN%,0,1
4225454,1,0,3,100%,0%,0,4
4225455,0,1,1,0%,100%,0,2
4225457,0,1,1,0%,100%,0,2
4225458,1,0,1,100%,0%,0,2
4225461,0,1,1,0%,100%,0,2
4225462,0,1,1,0%,100%,0,2
4225463,0,0,1,NaN%,NaN%,0,1
4225464,0,0,2,NaN%,NaN%,0,2
4225465,1,0,1,100%,0%,0,2
4225466,0,0,2,NaN%,NaN%,0,2
4225468,1,1,1,50%,50%,1,3
4225469,0,1,0,0%,100%,0,1
4225470,0,0,2,NaN%,NaN%,0,2
4225471,0,1,0,0%,100%,0,1
4225472,1,1,1,50%,50%,1,3
4225473,0,1,0,0%,100%,0,1
4225474,0,1,0,0%,100%,0,1
4225475,1,2,0,33%,67%,0,3
4225476,0,1,1,0%,100%,0,2
4225477,1,0,1,100%,0%,0,2
4225478,0,0,2,NaN%,NaN%,0,2
4225479,0,1,1,0%,100%,0,2
4225480,0,1,0,0%,100%,0,1
4225481,1,0,2,100%,0%,0,3
